,Gene,HGNC Gene ID,Disease,MONDO Disease ID,SOP,Classification,Report Reference URL,Report Date,Status,Definitive,Gene QID,Disease QID
208,EDN3,HGNC:3178,Waardenburg syndrome type 4B,MONDO_0013201,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/7f88c34c-a093-4fc8-b84a-49c7d2dd327f--2018-05-08T16:00:00,2018-05-08T16:00:00.000Z,error,no,Q18023152,Q32145186
209,EDNRB,HGNC:3180,Waardenburg syndrome type 4A,MONDO_0010192,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/d7abbd45-7915-437b-849b-dea876bfc2f5--2018-05-08T04:00:00,2018-05-08T04:00:00.000Z,error,no,Q390543,Q32145171
210,EDNRB,HGNC:3180,Waardenburg syndrome type 4A,MONDO_0010192,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/73ee9727-60c1-40fd-830f-08c2b513d2ee--2018-05-08T04:00:00,2018-05-08T04:00:00.000Z,error,no,Q390543,Q32145171
211,EEF1A2,HGNC:3192,complex neurodevelopmental disorder,MONDO_0100038,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/17551147-b62c-47a9-a12a-f425c23d90ff--2019-03-19T16:00:00,2019-03-19T16:00:00.000Z,error,yes,Q17915947,absent
212,EFEMP2,HGNC:3219,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8267,2016-12-22T00:00:00,error,no,Q18039764,absent
213,EFHC1,HGNC:16406,juvenile myoclonic epilepsy,MONDO_0009696,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/a2338bd8-c9ea-464b-8281-84472771a657--2018-07-27T21:06:44,2018-07-27T21:06:44.573Z,error,no,Q18048984,absent
214,EGLN1,HGNC:1232,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8363,2017-06-22T00:00:00,error,no,Q18041122,Q56013982
215,EGLN2,HGNC:14660,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8368,2017-06-22T00:00:00,error,no,Q18048843,Q56013982
216,EHMT1,HGNC:24650,Kleefstra syndrome,MONDO_0012455,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/db91a861-6a88-4848-b6d5-4772bdef52ff--2018-06-07T18:31:28,2018-06-07T18:31:28.103Z,complete,yes,Q18046371,Q4646476
217,ELAC2,HGNC:14198,combined oxidative phosphorylation defect type 17,MONDO_0014190,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/10122,false,error,no,Q18045417,absent
218,ELMOD3,HGNC:26158,autosomal recessive nonsyndromic deafness 88,MONDO_0014182,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8401,2017-05-04T00:00:00,error,no,Q18047444,Q28024660
219,ELMOD3,HGNC:26158,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/95f5efe3-e0d1-4cef-b475-7ff1cd3c417c--2017-05-04T16:00:00,2017-05-04T16:00:00.000Z,error,no,Q18047444,Q9079046
220,ENG,HGNC:3349,generalized juvenile polyposis/juvenile polyposis coli,MONDO_0008276,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/9859,2017-12-11T00:00:00,error,no,Q18250377,Q609165
221,ENG,HGNC:3349,hereditary hemorrhagic telangiectasia,MONDO_0019180,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d4d13b4a-f97b-45d0-9b82-07bcb6685a0a--2019-08-28T16:00:00,2019-08-28T16:00:00.000Z,error,yes,Q18250377,absent
222,EPAS1,HGNC:3374,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/8369,2017-06-22T00:00:00,error,no,Q17916838,Q56013982
223,EPCAM,HGNC:11529,"colorectal cancer, hereditary nonpolyposis, type 8",MONDO_0013196,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9852,2017-09-11T00:00:00,error,yes,Q18028744,absent
224,EPCAM,HGNC:11529,hereditary breast carcinoma,MONDO_0016419,SOP4,No Reported Evidence,https://search.clinicalgenome.org/kb/gene-validity/8527,2017-04-12T00:00:00,error,no,Q18028744,absent
225,EPHX1,HGNC:3401,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8431,2016-11-08T00:00:00,error,no,Q17916974,Q783644
226,EPS8,HGNC:3420,autosomal recessive nonsyndromic deafness 102,MONDO_0014428,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/7a6bd2bf-8ede-45cb-a1c1-65ee5221b440--2020-02-06T17:16:14,2020-02-06T17:16:14.553Z,error,no,Q17916979,Q28024588
227,EPS8L2,HGNC:21296,nonsyndromic genetic deafness,MONDO_0019497,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/e0022ad7-8497-4139-94a7-2546ba482c88--2020-02-05T17:00:00,2020-02-05T17:00:00.000Z,error,no,Q18045758,Q9079046
228,ERCC2,HGNC:3434,xeroderma pigmentosum group D,MONDO_0010212,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/91d0c244-d958-4358-8b92-cefefbce3843--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q14908096,Q32143733
229,ERCC3,HGNC:3435,xeroderma pigmentosum group B,MONDO_0012531,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/bf09deab-9612-4b13-8bb7-4c2a25dde868--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q14916136,Q32143803
230,ERCC4,HGNC:3436,xeroderma pigmentosum group F,MONDO_0010215,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/89544dc5-2d3b-4b7f-b835-3fec714bf7a5--2019-08-14T19:44:06,2019-08-14T19:44:06.189Z,complete,yes,Q17917469,Q32143775
231,ERCC5,HGNC:3437,xeroderma pigmentosum group G,MONDO_0010216,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/fc08c954-8ded-449b-8f67-e4f044b26cda--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q17917470,Q32143789
232,ESPN,HGNC:13281,nonsyndromic genetic deafness,MONDO_0019497,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/9bdbd958-1ad2-447a-9ccd-ed86f308577a--2018-09-20T20:03:22,2018-09-20T20:03:22.775Z,error,no,Q18047246,Q9079046
233,ESPN,HGNC:13281,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/7c63a581-ad69-4f18-b68b-d1b2cef5e699--2018-02-27T17:00:00,2018-02-27T17:00:00.000Z,complete,yes,Q18047246,Q9079046
234,ESRRB,HGNC:3473,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/03c875bb-70aa-4652-a7f2-35df1065165b--2018-04-24T16:00:00,2018-04-24T16:00:00.000Z,complete,yes,Q5401842,Q9079046
235,ETFA,HGNC:3481,multiple acyl-CoA dehydrogenase deficiency,MONDO_0009282,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3d6848e7-6e9e-4545-9f97-69480face058--2018-05-22T16:00:00,2018-05-22T16:00:00.000Z,complete,yes,Q17917639,Q1403045
236,ETFB,HGNC:3482,multiple acyl-CoA dehydrogenase deficiency,MONDO_0009282,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/d9a8d844-c82a-4258-bd48-10e2d977273e--2018-06-12T16:00:00,2018-06-12T16:00:00.000Z,error,no,Q17917640,Q1403045
237,ETFDH,HGNC:3483,multiple acyl-CoA dehydrogenase deficiency,MONDO_0009282,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/062e336e-cfda-45f7-b509-cd44a5079034--2018-05-22T16:00:00,2018-05-22T16:00:00.000Z,complete,yes,Q1161264,Q1403045
238,ETHE1,HGNC:23287,Leigh syndrome,MONDO_0009723,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d29d908d-ea85-4eb4-a6a5-400c95511c9a--2019-04-08T16:17:59,2019-04-08T16:17:59.443Z,error,yes,Q18037204,absent
239,ETV6,HGNC:3495,thrombocytopenia 5,MONDO_0014536,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/92a8c1cb-91c1-45cd-adbe-4180b1f6da7d--2020-01-22T17:00:00,2020-01-22T17:00:00.000Z,complete,yes,Q14914527,Q56013539
240,EVC,HGNC:3497,Ellis-van Creveld syndrome,MONDO_0009162,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9591,2018-02-06T08:00:00,complete,yes,Q17917650,Q1332448
241,EVC2,HGNC:19747,Ellis-van Creveld syndrome,MONDO_0009162,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9592,2018-02-06T08:00:00,complete,yes,Q18050450,Q1332448
242,EXO1,HGNC:3511,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/8432,2017-06-08T00:00:00,error,no,Q18033878,Q783644
243,EXT1,HGNC:3512,"exostoses, multiple, type 1",MONDO_0007585,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0ced1387-c0a8-4f03-bd70-1595cb7683fd--2018-06-04T19:20:29,2018-06-04T19:20:29.946Z,complete,yes,Q17917694,Q55950215
244,EXT2,HGNC:3513,"exostoses, multiple, type 2",MONDO_0007586,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9e6829ce-3e0b-44c5-a214-756f33b1e948--2018-12-21T15:31:26,2018-12-21T15:31:26.680Z,complete,yes,Q17917699,Q55950216
245,EYA1,HGNC:3519,branchio-oto-renal syndrome,MONDO_0007029,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/dca41ef6-ee63-4b1f-93d3-8b114dafcc58--2018-08-30T14:48:02,2018-08-30T14:48:02.507Z,complete,yes,Q17917742,Q2280106
246,EYA4,HGNC:3522,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/21c75059-bd7b-48ef-a828-28ffebe52ca0--2018-01-05T17:00:00,2018-01-05T17:00:00.000Z,complete,yes,Q17917387,Q9079046
247,F10,HGNC:3528,congenital factor X deficiency,MONDO_0009212,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/4adcc848-b354-4975-801f-4b55bbca64ad--2019-11-27T17:00:00,2019-11-27T17:00:00.000Z,error,yes,Q14865111,absent
248,F11,HGNC:3529,congenital factor XI deficiency,MONDO_0012897,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/a57ba9d9-45c5-48bc-b939-7593f67a86ed--2019-10-23T16:00:00,2019-10-23T16:00:00.000Z,complete,yes,Q14865120,Q1393718
249,F12,HGNC:3530,congenital factor XII deficiency,MONDO_0009315,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/50bbe8d0-4feb-43c7-8573-9d7f85c82e54--2020-01-22T17:00:00,2020-01-22T17:00:00.000Z,complete,yes,Q14862722,Q18555042
250,F12,HGNC:3530,hereditary angioedema type 3,MONDO_0012526,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/f40992c9-1172-4528-ab53-95108094d4b6--2020-01-23T17:30:48,2020-01-23T17:30:48.307Z,error,no,Q14862722,absent
251,F5,HGNC:3542,thrombophilia due to activated protein C resistance,MONDO_0008560,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/ab28e09c-08ff-4149-a536-3cdb9cc4099f--2019-09-30T16:00:00,2019-09-30T16:00:00.000Z,complete,yes,Q14865116,Q296104
252,F7,HGNC:3544,factor VII deficiency,MONDO_0002244,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/43fb4e99-e97a-4d9c-af11-79c2b09ecd2e--2019-07-24T16:00:00,2019-07-24T16:00:00.000Z,error,yes,Q14864641,absent
253,F8,HGNC:3546,hemophilia A,MONDO_0010602,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d4578f11-b635-45f4-8034-310fca5fe960--2019-07-24T16:00:00,2019-07-24T16:00:00.000Z,error,yes,Q14863039,absent
254,F9,HGNC:3551,hemophilia B,MONDO_0010604,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3d56d08d-48d0-4523-b433-dbd44c5b9e45--2019-05-22T19:02:26,2019-05-22T19:02:26.728Z,error,yes,Q3064159,absent
255,FAH,HGNC:3579,tyrosinemia type I,MONDO_0010161,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/39c50699-f422-4bae-89ac-af13ef7cb8cc--2019-03-08T17:00:00,2019-03-08T17:00:00.000Z,error,yes,Q20969930,absent
256,FAN1,HGNC:29170,hereditary nonpolyposis colon cancer,MONDO_0018630,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/9863,2017-10-23T00:00:00,error,no,Q18036586,Q783644
257,FANCA,HGNC:3582,Fanconi anemia complementation group A,MONDO_0009215,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/ceecf6ee-6700-40e5-a0d3-f7891805daac--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,error,yes,Q17927056,absent
258,FANCC,HGNC:3584,Fanconi anemia complementation group C,MONDO_0009213,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/cf4881c3-15b3-4e10-bd24-2da80433863b--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q18250517,Q32146953
259,FANCG,HGNC:3588,Fanconi anemia complementation group G,MONDO_0013565,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/1913bd10-1355-4067-93b6-9068924d77df--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q17927524,Q32146937
260,FARS2,HGNC:21062,Leigh syndrome,MONDO_0009723,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/2cf7594a-d934-4b6c-8052-94066d608c5a--2019-11-25T14:47:56,2019-11-25T14:47:56.827Z,error,no,Q18035591,absent
261,FBN1,HGNC:3603,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/8251,2017-01-23T00:00:00,error,yes,Q17927651,absent
262,FBN1,HGNC:3603,Marfan syndrome,MONDO_0007947,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d3fc0bea-4d6e-449e-885c-b204e6a0b2bf--2019-03-04T17:00:00,2019-03-04T17:00:00.000Z,error,yes,Q17927651,absent
263,FBN2,HGNC:3604,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8268,2016-12-22T00:00:00,error,no,Q17927680,absent
264,FERMT3,HGNC:23151,leukocyte adhesion deficiency 3,MONDO_0013016,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/df792161-5efb-45f7-91ed-5fe76045fa06--2019-08-28T16:00:00,2019-08-28T16:00:00.000Z,error,yes,Q18047244,absent
265,FGA,HGNC:3661,congenital fibrinogen deficiency,MONDO_0018060,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d34ded98-dbf7-4dc7-bea4-803db1857bf8--2020-01-22T17:00:00,2020-01-22T17:00:00.000Z,complete,yes,Q5446444,Q56014077
266,FGB,HGNC:3662,congenital fibrinogen deficiency,MONDO_0018060,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/638c1588-9674-4bc3-a39c-2fc8f8b0ef09--2020-01-22T17:00:00,2020-01-22T17:00:00.000Z,complete,yes,Q5446445,Q56014077
267,FGD1,HGNC:3663,"Aarskog-Scott syndrome, X-linked",MONDO_0010589,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9513,2017-12-06T00:00:00,complete,yes,Q15311768,Q303123
268,FGF3,HGNC:3681,"deafness with labyrinthine aplasia, microtia, and microdontia",MONDO_0012541,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/5ca11e8c-6703-4be5-a8c2-82e6dcc865e4--2019-05-21T16:00:00,2019-05-21T16:00:00.000Z,complete,yes,Q14889529,Q55783760
269,FGFR3,HGNC:3690,achondroplasia,MONDO_0007037,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3221,2016-12-01T00:00:00,error,yes,Q14914358,absent
270,FGG,HGNC:3694,congenital fibrinogen deficiency,MONDO_0018060,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9ef37f0f-a5ae-402c-b319-7f7d731ecbb1--2020-01-23T17:33:01,2020-01-23T17:33:01.596Z,complete,yes,Q17928227,Q56014077
271,FH,HGNC:3700,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8362,2017-06-22T00:00:00,error,no,Q418634,Q56013982
272,FLAD1,HGNC:24671,myopathy with abnormal lipid metabolism,MONDO_0009703,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/769764bf-09c5-4a7d-8501-5fcf154fcdda--2018-06-12T16:00:00,2018-06-12T16:00:00.000Z,error,no,Q18046691,Q55782129
273,FLCN,HGNC:27310,Birt-Hogg-Dube syndrome,MONDO_0007607,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/c96620e8-f9c9-41a0-a979-31fb9928abb6--2019-04-19T16:00:00,2019-04-19T16:00:00.000Z,complete,yes,Q18053203,Q2532540
274,FLNA,HGNC:3754,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8274,2016-12-22T00:00:00,error,no,Q17928815,absent
275,FLNC,HGNC:3756,myofibrillar myopathy 5,MONDO_0012289,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/10057,2017-12-12T16:00:00,complete,yes,Q17928825,Q21505523
276,FMR1,HGNC:3775,fragile X syndrome,MONDO_0010383,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e491d278-7123-434c-8de3-46e16afb4037--2019-06-03T16:00:00,2019-06-03T16:00:00.000Z,error,yes,Q14882338,absent
277,FOLR1,HGNC:3791,neurodegenerative syndrome due to cerebral folate transport deficiency,MONDO_0013110,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/22c12588-dc55-4e90-827a-d7a6349e38a9--2018-04-27T16:49:24,2018-04-27T16:49:24.579Z,complete,yes,Q17928985,Q55345829
278,FOXE3,HGNC:3808,familial thoracic aortic aneurysm and aortic dissection,MONDO_0019625,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8261,2016-06-15T00:00:00,error,no,Q17928751,absent
279,FOXG1,HGNC:3811,FOXG1 disorder,MONDO_0100040,SOP5,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3f14c6c5-b051-4c94-b9c6-3b80771eed22--2018-07-02T14:08:27,2018-07-02T14:08:27.839Z,error,yes,Q17928632,absent
280,FOXI1,HGNC:3815,enlarged vestibular aqueduct syndrome,MONDO_0023069,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/d3a6b8fa-01d1-4f32-a45e-9c9582e14280--2018-09-10T19:47:01,2018-09-10T19:47:01.454Z,error,no,Q17928744,Q2241556
281,FOXI1,HGNC:3815,syndromic genetic deafness,MONDO_0019589,SOP6,Limited,https://search.clinicalgenome.org/kb/gene-validity/0bb41557-8ccc-4084-b4b0-d4ede42d8f36--2018-02-27T05:00:00,2018-02-27T05:00:00.000Z,error,no,Q17928744,Q55788734
282,FOXP1,HGNC:3823,intellectual disability-severe speech delay-mild dysmorphism syndrome,MONDO_0013352,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/db1c240c-7ffb-4a95-92ad-da9e8af2adc6--2019-05-09T16:27:56,2019-05-09T16:27:56.956Z,complete,yes,Q15318896,Q55784026
283,FOXP2,HGNC:13875,specific language disorder,MONDO_0016226,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/b13348d1-1248-4507-aa29-60559e6b410e--2019-05-21T16:00:00,2019-05-21T16:00:00.000Z,error,yes,Q14820071,absent
284,FOXRED1,HGNC:26927,Leigh syndrome,MONDO_0009723,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/c74ba0cb-ccef-4a19-9fef-ef9996f72290--2019-10-16T14:34:53,2019-10-16T14:34:53.574Z,error,no,Q18041867,absent
285,FTSJ1,HGNC:13254,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/9515,2018-01-17T00:00:00,error,no,Q18037659,absent
286,FXN,HGNC:3951,Friedreich ataxia,MONDO_0009245,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/10058,2017-12-22T12:00:00,complete,yes,Q14907844,Q913856
287,GAA,HGNC:4065,glycogen storage disease II,MONDO_0009290,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/0554320e-6a8f-4c39-be7f-99959a8341ee--2019-01-23T17:00:00,2019-01-23T17:00:00.000Z,complete,yes,Q14902475,Q1365789
288,GABRA1,HGNC:4075,developmental and epileptic encephalopathy,MONDO_0100062,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/60478d36-384e-4246-ba8a-730755d6f216--2019-05-21T16:00:00,2019-05-21T16:00:00.000Z,error,yes,Q18025042,absent
289,GABRB3,HGNC:4083,developmental and epileptic encephalopathy,MONDO_0100062,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/a9327dac-6f76-4881-8a23-ef2b210f92e7--2019-02-05T17:00:00,2019-02-05T17:00:00.000Z,error,yes,Q18025122,absent
290,GABRG2,HGNC:4087,epilepsy,MONDO_0005027,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/3a3176e9-ac0c-41fe-ae40-0750726c33d8--2020-01-21T17:00:00,2020-01-21T17:00:00.000Z,complete,yes,Q18025166,Q41571
291,GALNT12,HGNC:19877,"colorectal cancer, susceptibility to, 1",MONDO_0012132,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8435,2017-06-08T00:00:00,error,no,Q18046275,Q55783609
292,GAMT,HGNC:4136,guanidinoacetate methyltransferase deficiency,MONDO_0012999,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/f0a84d45-57f8-4763-b1c5-7a283cef5f71--2019-01-25T17:00:00,2019-01-25T17:00:00.000Z,complete,yes,Q15335907,Q5613758
293,GATA2,HGNC:4171,GATA2 deficiency with susceptibility to MDS/AML,MONDO_0042982,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/7c0449f7-e20b-4610-95ad-896eee265492--2019-08-18T16:06:51,2019-08-18T16:06:51.841Z,error,yes,Q18025461,absent
294,GATA3,HGNC:4172,hypoparathyroidism-deafness-renal disease syndrome,MONDO_0007797,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/afb6e0d5-81a5-439a-a498-9edc8505a367--2019-06-18T16:00:00,2019-06-18T16:00:00.000Z,complete,yes,Q18025464,Q2027515
295,GATM,HGNC:4175,AGAT deficiency,MONDO_0012996,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/d63bfeff-882d-400f-af17-277a702fd09b--2019-03-08T17:00:00,2019-03-08T17:00:00.000Z,complete,yes,Q18025492,Q18553418
296,GCDH,HGNC:4189,glutaryl-CoA dehydrogenase deficiency,MONDO_0009281,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/33a2c95e-a057-4b93-b97e-27b6597516e5--2019-11-08T13:25:56,2019-11-08T13:25:56.504Z,complete,yes,Q3195074,Q2140501
297,GDI1,HGNC:4226,non-syndromic X-linked intellectual disability,MONDO_0019181,SOP5,Moderate,https://search.clinicalgenome.org/kb/gene-validity/8afc42b0-6c5e-460b-87d1-035c051fe7ca--2018-05-24T22:55:28,2018-05-24T22:55:28.461Z,error,no,Q18025723,absent
298,GDNF,HGNC:4232,hereditary pheochromocytoma-paraganglioma,MONDO_0017366,SOP4,Limited,https://search.clinicalgenome.org/kb/gene-validity/8373,2017-07-22T00:00:00,error,no,Q14916286,Q56013982
299,GEN1,HGNC:26881,familial ovarian cancer,MONDO_0016248,SOP4,No Reported Evidence,https://search.clinicalgenome.org/kb/gene-validity/8692,2017-01-11T00:00:00,error,no,Q18055780,Q172341
300,GEN1,HGNC:26881,hereditary breast carcinoma,MONDO_0016419,SOP4,Disputed,https://search.clinicalgenome.org/kb/gene-validity/8691,2017-12-13T00:00:00,error,no,Q18055780,absent
301,GFI1B,HGNC:4238,platelet-type bleeding disorder 17,MONDO_0008553,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/62841ea9-5bd8-4250-ab41-31d7cf82d2e3--2019-11-27T17:00:00,2019-11-27T17:00:00.000Z,error,yes,Q18032826,absent
302,GFM1,HGNC:13780,Leigh syndrome,MONDO_0009723,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/154a8f96-7062-49c7-9aaa-b23a98655f40--2019-12-19T18:51:08,2019-12-19T18:51:08.232Z,error,no,Q18048061,absent
303,GFM2,HGNC:29682,Leigh syndrome,MONDO_0009723,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/0736b760-ca37-4d0a-93a4-c71bbb8cd41a--2019-12-19T18:54:49,2019-12-19T18:54:49.252Z,error,no,Q18047584,absent
304,GIPC3,HGNC:18183,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/e5feebe1-59a9-4e28-ad85-aec5cad6b54e--2017-08-22T16:00:00,2017-08-22T16:00:00.000Z,complete,yes,Q18049724,Q9079046
305,GJA1,HGNC:4274,nonsyndromic genetic deafness,MONDO_0019497,SOP6,Disputed,https://search.clinicalgenome.org/kb/gene-validity/9e428d8c-42a2-430b-babd-8beceb26197e--2018-01-16T17:00:00,2018-01-16T17:00:00.000Z,error,no,Q15330556,Q9079046
306,GJB1,HGNC:4283,Charcot-Marie-Tooth disease X-linked dominant 1,MONDO_0010549,SOP7,Definitive,https://search.clinicalgenome.org/kb/gene-validity/fcacd858-2376-4cc0-983a-156145e36595--2020-01-14T17:00:00,2020-01-14T17:00:00.000Z,error,yes,Q18025986,absent
307,GJB2,HGNC:4284,autosomal recessive nonsyndromic deafness,MONDO_0019588,SOP4,Definitive,https://search.clinicalgenome.org/kb/gene-validity/8399,2017-03-02T00:00:00,error,yes,Q18025996,absent
308,GJB2,HGNC:4284,syndromic genetic deafness,MONDO_0019589,SOP6,Definitive,https://search.clinicalgenome.org/kb/gene-validity/9d7b8505-4def-4b99-a8a2-853c07e9969e--2018-06-26T16:00:00,2018-06-26T16:00:00.000Z,complete,yes,Q18025996,Q55788734
309,GJB3,HGNC:4285,nonsyndromic genetic deafness,MONDO_0019497,SOP5,Disputed,https://search.clinicalgenome.org/kb/gene-validity/f83e013a-685f-405b-89d6-a8e80aefaf6e--2018-08-23T16:53:15,2018-08-23T16:53:15.195Z,error,no,Q18026007,Q9079046
310,GJB3,HGNC:4285,erythrokeratodermia variabilis,MONDO_0017851,SOP6,Strong,https://search.clinicalgenome.org/kb/gene-validity/1d48c959-31d8-44e2-985c-c48921e8f08a--2018-03-05T05:00:00,2018-03-05T05:00:00.000Z,error,no,Q18026007,absent
311,GJB6,HGNC:4288,nonsyndromic genetic deafness,MONDO_0019497,SOP5,Refuted,https://search.clinicalgenome.org/kb/gene-validity/f281869c-25e5-44ad-94e7-c7d6374755fd--2018-09-10T18:01:32,2018-09-10T18:01:32.444Z,error,no,Q18035847,Q9079046
